X,Wardname,Wardname_rn,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardname_rn
113,Harrow - Harrow Weald,Harrow Weald,11376,65.1,80.6,85.7,19.74331927,17.1,48.3,36.7,10.5,Harrow Weald
114,Harrow - Wealdstone,Wealdstone,11394,94,75.5,81.4,23.42460944,11,62.6,46.9,18.3,Wealdstone
115,Hounslow - Hanworth Park,Hanworth Park,11408,72.7,77.7,82.4,20.46809257,12,30.8,28.5,10.9,Hanworth Park
116,Hounslow - Hounslow South,Hounslow South,11409,60.7,83.6,88.7,19.31100982,12.5,45.1,38.7,13.2,Hounslow South
117,Richmond upon Thames - Kew,Kew,11436,66.7,79,88.4,20.15564883,13.9,15.3,30.2,7.6,Kew
118,Hillingdon - Manor,Manor,11442,53.6,80,83.1,20.24121657,15.7,16,16.2,3.6,Manor
119,Waltham Forest - Valley,Valley,11444,75.2,77.5,80.9,21.14645229,13.4,38.4,25.6,7.9,Valley
120,Hounslow - Turnham Green,Turnham Green,11448,52.2,77.9,83.8,14.98078267,12.9,23.2,39.9,12.8,Turnham Green
121,Merton - Cricket Green,Cricket Green,11474,120,78.5,87,23.31357853,10.8,47.5,39.5,14.5,Cricket Green
122,Croydon - Fieldway,Fieldway,11479,78.1,75.4,78.6,31.10898162,10.1,34.4,19.3,4.1,Fieldway
123,Islington - Clerkenwell,Clerkenwell,11490,29.2,77.6,84.9,12.23672759,8.2,29.3,38.5,12.6,Clerkenwell
124,Redbridge - Church End,Church End,11516,67.5,81.4,84.6,18.23549844,11.9,26.5,22.1,5.8,Church End
125,Hounslow - Chiswick Riverside,Chiswick Riverside,11543,76.7,85.4,82.2,18.75595599,11.8,19.1,30.3,8.9,Chiswick Riverside
126,Redbridge - Wanstead,Wanstead,11543,70.2,79.9,84.3,19.37971065,14.5,30,22.8,5.7,Wanstead
127,Southwark - East Walworth,East Walworth,11557,58.2,74.5,81.9,18.49961063,8.3,51.8,43.8,13.7,East Walworth
128,Hounslow - Feltham North,Feltham North,11563,84.3,73.5,77.3,19.96886621,13.6,38.9,35.7,14.1,Feltham North
129,Bexley - North End,North End,11566,89.6,74,79,26.80269756,10.6,27,18.8,3.3,North End
130,Hillingdon - Northwood Hills,Northwood Hills,11578,76.7,78.9,86,18.86336155,17.5,33.3,27.9,7.1,Northwood Hills
131,Sutton - Wandle Valley,Wandle Valley,11630,79.3,77.3,84.6,24.06706793,9,24.8,19.8,5.7,Wandle Valley
132,Haringey - Highgate,Highgate,11632,50,79.5,85.4,15.3627923,11.7,18.9,31.5,8.2,Highgate
133,Islington - Highbury East,Highbury East,11634,64.2,76.7,80.5,17.019082,9.7,23.5,30.9,9.3,Highbury East
134,Harrow - Edgware,Edgware,11653,91,79.6,83.9,20.28662147,11.4,65.3,56.5,24.8,Edgware
135,Sutton - Worcester Park,Worcester Park,11655,83,81.1,83.7,20.78936079,13.4,20,21.5,6.1,Worcester Park
136,Redbridge - Bridge,Bridge,11658,50,79.4,83.6,20.02916452,13.4,28.1,21.6,6.7,Bridge
137,Hillingdon - Cavendish,Cavendish,11658,59.2,80.6,84,20.62103277,15.7,19.7,16.7,3.7,Cavendish
138,Harrow - Roxeth,Roxeth,11663,69.2,81.6,82.6,22.84146446,11,66.3,48.4,19.8,Roxeth
139,Hackney - Wick,Wick,11734,53.4,74.9,82.7,22.31975456,7.9,51.6,35.1,10.9,Wick
140,Camden - Fortune Green,Fortune Green,11740,52.6,80.7,84.8,15.04258944,9.7,29,43.4,16.1,Fortune Green
141,Haringey - Stroud Green,Stroud Green,11758,40,77,89.9,16.27827862,6.9,25.9,31.3,9,Stroud Green
142,Westminster - Church Street,Church Street,11760,54.3,73.4,76.4,23.16326531,11.4,61.7,52.7,27.2,Church Street
143,Islington - Hillrise,Hillrise,11794,56.8,74.9,80.6,19.24707478,9,33.7,32.9,10.4,Hillrise
144,Haringey - Alexandra,Alexandra,11795,65.8,79.2,83.5,21.61085206,9.9,20.5,26.8,8.5,Alexandra
145,Southwark - College,College,11812,69.5,75.8,81.6,20.40298002,11.7,36.6,30.7,5.3,College
146,Camden - King's Cross,King's Cross,11843,34.1,76.9,81.5,14.50645951,7.2,49.2,50.9,22.4,King's Cross
147,Redbridge - Snaresbrook,Snaresbrook,11865,68.8,77.9,84.8,15.41508639,17.6,30.2,27.2,6.5,Snaresbrook
148,Bexley - Belvedere,Belvedere,11890,78.6,77.9,82.5,22.3549201,12.7,28.4,20.4,5.1,Belvedere
149,Camden - Cantelowes,Cantelowes,11925,46,77.2,82.5,16.18448637,9.1,31.9,35.9,12.6,Cantelowes
150,Hounslow - Isleworth,Isleworth,11977,89.7,74.9,82.9,21.32420473,9.8,34.8,33.8,11.7,Isleworth
151,Havering - Emerson Park,Emerson Park,11977,52.2,78.7,81.3,16.30625365,21.3,17.7,11.4,1.7,Emerson Park
