,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
156,Redbridge - Roding,12044,68.0,80.3,83.8,22.7499169711059,10.3,37.2,28.2,8.7
157,Hillingdon - Uxbridge North,12048,63.1,77.2,83.0,17.886786188579,15.9,30.2,23.4,5.9
158,Bexley - Erith,12053,106.7,78.3,82.8,23.637268729776803,11.7,31.4,23.1,5.6
159,Camden - West Hampstead,12060,55.6,77.9,83.0,12.545605306799299,8.4,30.5,43.3,13.9
160,Westminster - Regent's Park,12067,54.1,80.9,83.5,15.2979199469628,16.3,43.7,59.9,23.7
161,Islington - Canonbury,12072,50.0,74.7,84.1,17.3376408217363,9.7,28.2,29.7,9.1
162,Bexley - Thamesmead East,12094,117.0,77.9,83.8,27.1622292045642,6.8,52.7,38.1,7.6
163,Brent - Kenton,12133,57.9,83.7,86.2,16.7229868952444,17.2,70.0,53.9,19.6
164,Hounslow - Hanworth,12155,85.0,77.5,87.1,24.2040312628548,11.0,32.4,28.9,11.3
165,Hillingdon - Heathrow Villages,12199,86.9,75.8,82.8,20.8213788015411,9.4,50.0,43.2,17.1
166,Islington - Barnsbury,12201,45.1,75.0,79.5,14.884025899516402,9.4,28.9,35.5,10.9
167,Hackney - Clissold,12212,60.9,77.1,83.5,18.711103832296104,6.6,34.7,32.0,10.6
168,Croydon - Coulsdon East,12244,65.1,81.8,85.7,19.1849068931722,19.6,15.4,11.8,1.5
169,Bromley - Crystal Palace,12255,70.6,75.5,82.0,19.216646266829898,7.8,38.1,30.3,8.3
170,Harrow - Marlborough,12259,75.1,78.9,84.3,20.694999592136398,10.6,62.9,51.6,20.2
171,Havering - Hacton,12262,45.4,80.6,85.2,16.5878323275159,19.7,7.3,7.3,1.7
172,Harrow - Harrow on the Hill,12270,78.4,81.2,84.2,20.814995925020398,11.7,52.6,44.2,15.1
173,Hackney - Lordship,12280,111.6,75.1,84.8,27.451140065146603,8.4,30.5,31.4,13.1
174,Hounslow - Heston Central,12288,80.8,77.2,83.2,20.8414713541667,10.9,76.6,54.7,23.9
175,Hounslow - Heston East,12319,83.5,85.6,86.2,20.383147982790803,10.5,77.4,56.5,26.1
176,Southwark - East Dulwich,12321,76.7,81.2,82.9,17.5229283337391,8.7,28.2,25.9,5.6
177,Hounslow - Cranford,12330,117.4,78.4,86.8,21.3787510137875,10.1,73.9,56.2,26.5
178,Hillingdon - South Ruislip,12364,82.1,77.6,83.8,20.1957295373665,12.6,27.0,23.2,7.7
179,Camden - Haverstock,12364,65.9,76.7,81.4,19.4920737625364,11.1,37.1,36.3,10.7
180,Kingston upon Thames - Canbury,12373,77.1,77.2,81.6,21.700476844742603,7.9,21.4,27.5,9.5
181,Hackney - Springfield,12378,126.5,80.2,84.2,33.1879140410406,6.9,44.9,39.4,18.2
182,Haringey - Crouch End,12395,59.1,78.1,82.3,15.8612343686971,8.9,18.0,29.2,7.6
183,Southwark - Village,12402,65.5,77.9,81.6,23.738106756974698,10.9,20.1,22.0,3.5
184,Harrow - Greenhill,12420,63.3,76.4,82.1,16.8276972624799,10.4,58.5,52.7,20.7
185,Hounslow - Heston West,12438,87.3,79.7,82.5,22.969930857051,10.3,76.2,51.1,23.9
186,Hackney - Stoke Newington Central,12445,50.1,74.9,85.9,15.958216151064699,7.0,39.9,36.6,13.0
187,Westminster - Hyde Park,12462,46.0,87.9,91.3,12.7427379232868,9.9,44.7,64.2,34.1
188,Havering - Elm Park,12466,63.2,76.9,84.5,17.9207444248356,19.4,13.7,10.9,2.1
189,Harrow - Canons,12471,72.9,81.1,87.2,18.362601234864897,19.6,48.4,40.1,12.5
190,Haringey - Fortis Green,12488,49.2,81.5,87.3,21.2764253683536,11.0,20.1,27.5,8.3
191,Greenwich - Eltham North,12519,57.9,77.9,86.0,18.6117102004952,16.6,11.3,13.9,3.4
192,Lambeth - Thornton,12526,65.8,79.0,85.2,20.661025067858898,7.9,40.5,37.0,10.1
193,Havering - Cranham,12528,47.0,80.8,84.5,17.233397190293697,23.5,5.6,6.0,1.1
194,Greenwich - Eltham South,12541,61.9,77.4,85.8,16.2586715572921,15.7,16.8,17.5,4.6
195,Hackney - Hackney Central,12548,68.7,75.0,80.3,17.5964297099139,7.7,52.7,40.5,12.8
196,Hackney - New River,12551,128.2,79.9,82.8,28.882160784001304,7.7,39.3,40.2,19.4
197,Westminster - Queen's Park,12563,83.3,76.8,83.8,21.7702777998886,9.5,52.6,43.3,15.2
198,Havering - Heaton,12570,61.6,76.7,81.0,21.925218774860802,16.8,16.3,13.0,2.5
199,Redbridge - Barkingside,12609,68.7,81.0,85.7,20.2791656753113,14.8,64.2,40.5,12.8
200,Waltham Forest - Forest,12609,99.6,77.9,80.7,19.3591878816718,9.3,58.7,45.7,18.4
201,Camden - Camden Town with Primrose Hill,12613,56.3,79.6,84.4,15.373027828431,11.3,26.4,38.8,12.1
202,Hillingdon - Charville,12622,83.5,81.6,86.0,22.8014577721439,12.5,43.9,30.1,9.7
203,Southwark - South Camberwell,12629,56.9,76.4,84.6,19.684852324016198,7.1,44.1,35.8,7.7
204,Redbridge - Fairlop,12630,89.8,80.2,81.1,20.8471892319873,13.1,34.9,25.1,8.2
205,Havering - Harold Wood,12650,60.4,79.8,82.6,17.4466403162055,17.4,10.1,9.4,2.5
206,Hounslow - Hounslow West,12658,95.8,76.4,81.5,17.4435139832517,11.2,75.9,62.6,29.4
207,Haringey - Hornsey,12659,57.5,74.7,83.2,18.1293941069595,8.2,31.0,32.2,10.5
208,Waltham Forest - Cathall,12700,79.3,74.9,81.6,21.3622047244094,6.8,61.0,50.1,20.0
209,Hounslow - Bedfont,12701,83.9,77.3,80.9,22.234469726793197,11.2,35.7,31.0,12.5
210,Camden - Belsize,12702,83.4,82.3,83.9,17.4460714848055,12.0,27.8,46.3,14.0
211,Enfield - Grange,12709,60.0,82.5,86.1,17.6095680226611,18.8,19.6,22.1,6.4
212,Westminster - Westbourne,12759,69.0,73.8,78.0,21.8198918410534,9.5,52.8,51.5,24.1
213,Croydon - Sanderstead,12777,55.7,82.5,84.2,19.558581826719898,18.5,19.5,13.7,1.7
214,Redbridge - Cranbrook,12780,83.3,77.5,83.0,20.524256651017197,12.9,75.4,44.5,15.1
215,Brent - Northwick Park,12811,39.4,80.7,81.6,16.6887830770432,13.2,68.8,53.3,19.8
216,Harrow - Roxbourne,12828,62.1,75.0,84.5,24.454318677892104,9.8,66.3,48.4,20.9
217,Havering - Upminster,12833,38.6,80.1,81.6,16.7770591443934,22.5,4.8,6.1,0.9
218,Southwark - Faraday,12839,65.5,78.3,83.5,23.2416854895241,7.0,60.7,45.9,14.6
219,Lambeth - Clapham Common,12852,43.3,77.8,82.1,15.6084656084656,6.8,24.3,33.5,7.6
220,Greenwich - Blackheath Westcombe,12875,69.3,79.4,83.8,16.2796116504854,15.0,16.9,23.0,5.2
221,Waltham Forest - Leytonstone,12879,60.0,76.8,84.0,16.422082459818302,7.5,47.6,42.6,15.4
222,Camden - Swiss Cottage,12900,68.6,81.6,85.0,16.4883720930233,11.6,32.4,51.2,17.8
223,Hillingdon - Hillingdon East,12906,83.7,77.6,83.5,23.113280644661398,11.9,34.4,23.3,6.4
224,Redbridge - Fullwell,12910,75.1,78.8,83.2,21.5491866769946,15.6,48.5,29.6,8.0
225,Havering - Mawneys,12915,65.3,80.2,89.2,19.4192799070848,18.1,11.5,9.3,2.5
226,Islington - Mildmay,12917,48.5,76.9,81.0,18.255012773863896,7.8,34.5,33.8,10.6
227,Hackney - Hackney Downs,12921,67.4,74.9,83.3,18.8839873074839,7.2,51.7,39.5,15.5
228,Tower Hamlets - Bow West,12939,60.3,74.0,80.9,19.2596027513718,7.8,40.7,32.0,11.3
229,Havering - Hylands,12952,43.1,77.8,84.5,17.634342186534898,16.2,9.7,7.9,1.7
230,Redbridge - Hainault,12953,80.4,78.1,83.8,23.0448544738671,14.1,29.8,22.2,7.4
231,Havering - Pettits,12955,59.6,81.0,83.9,17.020455422616802,20.8,8.7,7.4,1.7
232,Hillingdon - Yiewsley,12979,72.0,74.9,81.1,22.343786116033602,9.3,33.8,27.7,10.0
233,Havering - Havering Park,13000,58.0,75.3,79.0,21.2692307692308,15.9,12.0,9.1,1.5
234,Enfield - Highlands,13006,50.7,81.5,90.5,16.9075811164078,18.5,20.8,20.9,5.4
235,Brent - Brondesbury Park,13023,67.2,80.3,84.7,16.7933655839668,12.1,43.8,47.2,16.2
236,Redbridge - Goodmayes,13069,103.0,79.9,83.2,24.087535389088696,8.0,75.2,46.3,18.5
237,Southwark - Brunswick Park,13174,73.3,78.8,90.7,19.6599362380446,7.1,53.3,40.6,10.7
238,Waltham Forest - Higham Hill,13194,107.4,75.8,88.0,24.4808246172503,7.6,51.9,40.3,15.7
239,Havering - Squirrel's Heath,13194,63.0,81.6,89.5,17.7656510535092,16.3,11.5,9.4,1.3
240,Westminster - Lancaster Gate,13195,46.5,93.7,88.1,11.5953012504737,8.4,33.7,64.6,32.2
241,Tower Hamlets - Weavers,13206,55.1,78.9,82.2,17.3406027563229,7.0,47.9,41.2,16.7
242,Croydon - Heathfield,13213,56.9,84.1,83.7,19.049421024748398,15.9,24.6,16.9,2.8
243,Hackney - Victoria,13231,62.9,79.4,86.8,20.6409190537374,7.4,44.2,34.0,10.4
244,Hackney - Chatham,13232,63.2,72.5,81.4,21.9543530834341,6.9,54.4,41.3,14.4
245,Redbridge - Clayhall,13241,63.8,84.0,85.4,21.901669058228197,14.3,71.0,38.8,10.9
246,Waltham Forest - William Morris,13269,102.7,77.5,80.7,22.413143416987,8.0,51.8,43.6,16.9
247,Haringey - Harringay,13272,64.0,78.4,81.8,14.7679324894515,7.5,34.5,49.2,24.3
248,Islington - Tollington,13311,46.2,72.4,80.8,17.7221846593043,8.0,35.8,34.5,12.6
249,Ealing - Walpole,13330,66.8,79.0,85.5,17.9594898724681,10.5,27.1,38.0,14.1
250,Tower Hamlets - Mile End East,13354,74.3,73.4,78.7,23.895462033847497,5.7,66.0,43.5,20.0
251,Waltham Forest - Wood Street,13368,102.1,75.3,83.2,23.3019150209455,9.2,50.4,38.7,14.4
252,Haringey - West Green,13372,65.0,75.6,86.2,19.7427460364942,9.5,47.8,54.6,25.9
253,Hackney - Cazenove,13392,116.6,74.4,86.7,28.3751493428913,5.4,43.3,36.4,16.4
254,Enfield - Winchmore Hill,13403,68.8,78.5,81.5,18.421248974110302,14.9,23.8,27.0,8.1
255,Newham - Custom House,13411,91.8,73.7,77.4,24.054880322123605,6.6,53.5,46.9,19.6
